region,feature,family,F1,F2,F3,mean_residual_ic,median_residual_ic,same_direction_3of3,at_least_2_folds_abs_ic_ge_0_01,stable_meaningful,abs_mean_residual_ic,mean_d0_prediction_ic
middle60,kmid__csr_d0,cross_section_rank,0.058700562,0.076762444,0.092259136,0.075907381,0.076762444,True,True,True,0.075907381,-0.153826290
middle60,stdret_60__csr_d0,cross_section_rank,0.067276665,0.081545473,0.056641842,0.068487993,0.067276665,True,True,True,0.068487993,-0.174734120
middle60,csr_ret_1,cross_section_rank,0.052659269,0.072434454,0.079677383,0.068257035,0.072434454,True,True,True,0.068257035,-0.137340835
middle60,csr_madev_5,cross_section_rank,0.056017083,0.040981499,0.083000740,0.059999774,0.056017083,True,True,True,0.059999774,-0.128000223
middle60,csr_stdret_5,cross_section_rank,0.055601053,0.073828695,0.044457960,0.057962569,0.055601053,True,True,True,0.057962569,-0.162775045
middle60,ret_2__csr_d0,cross_section_rank,0.041194397,0.050788042,0.076929814,0.056304084,0.050788042,True,True,True,0.056304084,-0.121387236
middle60,downvol_20__csr_d0,cross_section_rank,0.038045074,0.086945773,0.037579756,0.054190201,0.038045074,True,True,True,0.054190201,-0.132077389
middle60,csr_ret_5,cross_section_rank,0.061400525,0.025239555,0.075685048,0.054108376,0.061400525,True,True,True,0.054108376,-0.114224310
middle60,volratio_60__csr_d0,cross_section_rank,0.062125575,0.035838889,0.060486696,0.052817053,0.060486696,True,True,True,0.052817053,-0.137758813
middle60,csr_ret_3,cross_section_rank,0.047478706,0.024848825,0.071149714,0.047825748,0.047478706,True,True,True,0.047825748,-0.107937056
middle60,corr_ret_dlogvol_20__csr_d0,cross_section_rank,0.057108019,0.031267469,0.047862122,0.045412537,0.047862122,True,True,True,0.045412537,-0.124924864
middle60,csr_madev_20,cross_section_rank,0.062198837,-0.006808818,0.075870966,0.043753662,0.062198837,False,True,False,0.043753662,-0.113142611
middle60,madev_60__csr_d0,cross_section_rank,0.056229309,-0.005985366,0.068762540,0.039668828,0.056229309,False,True,False,0.039668828,-0.115241492
middle60,csr_amtratio_20,cross_section_rank,0.046440989,0.023032754,0.048765998,0.039413247,0.046440989,True,True,True,0.039413247,-0.099534900
middle60,csr_volratio_20,cross_section_rank,0.044047894,0.026719277,0.044413773,0.038393648,0.044047894,True,True,True,0.038393648,-0.096000430
middle60,csr_ret_20,cross_section_rank,0.055136478,-0.009554995,0.064952472,0.036844652,0.055136478,False,True,False,0.036844652,-0.101325865
middle60,csr_ret_60,cross_section_rank,0.047119206,0.000844104,0.052354968,0.033439426,0.047119206,True,True,True,0.033439426,-0.093241501
middle60,csr_ret_10,cross_section_rank,0.053460356,-0.012422898,0.050101620,0.030379693,0.050101620,False,True,False,0.030379693,-0.087284485
middle60,csr_amtratio_5,cross_section_rank,0.030538301,0.027645390,0.027873647,0.028685779,0.027873647,True,True,True,0.028685779,-0.064565181
middle60,csr_volratio_5,cross_section_rank,0.028863793,0.027551880,0.024561122,0.026992265,0.027551880,True,True,True,0.026992265,-0.061591090
middle60,csr_rsv_20,cross_section_rank,0.036851298,-0.016097366,0.053221364,0.024658432,0.036851298,False,True,False,0.024658432,-0.071692698
