trade_date,prediction_spearman,top10_jaccard,top10_overlap,top_size,intersection,top10_exclusive_union_fraction,top10_per_model_exclusive_fraction
20230713,0.75518002975342913,0.37817638266068759,0.5488069414316703,461,253,0.62182361733931235,0.4511930585683297
20230714,0.79463599922189643,0.6112084063047285,0.75869565217391299,460,349,0.3887915936952715,0.24130434782608701
20230717,0.77070230150813412,0.39908952959028832,0.57049891540130149,461,263,0.60091047040971168,0.42950108459869851
20230718,0.75478862630051713,0.36484490398818314,0.53463203463203468,462,247,0.63515509601181686,0.46536796536796532
20230719,0.75998928628825424,0.36283185840707965,0.53246753246753242,462,246,0.63716814159292035,0.46753246753246758
20230720,0.78801140711925088,0.61821366024518387,0.76406926406926412,462,353,0.38178633975481613,0.23593073593073588
20230721,0.82240983757826136,0.55480607082630695,0.71366594360086766,461,329,0.44519392917369305,0.28633405639913234
20230724,0.7553976362811371,0.34890510948905107,0.51731601731601728,462,239,0.65109489051094893,0.48268398268398272
20230725,0.78459577471828068,0.58003442340791733,0.73420479302832242,459,337,0.41996557659208267,0.26579520697167758
20230726,0.76174259627385321,0.46730462519936206,0.63695652173913042,460,293,0.532695374800638,0.36304347826086958
20230727,0.78583927862464353,0.54773869346733672,0.70779220779220775,462,327,0.45226130653266328,0.29220779220779225
20230728,0.74263986129580339,0.35294117647058826,0.52173913043478259,460,240,0.64705882352941169,0.47826086956521741
20230731,0.74454568668036014,0.32467532467532467,0.49019607843137253,459,225,0.67532467532467533,0.50980392156862742
20230801,0.7627675987422563,0.39485627836611198,0.56616052060737532,461,261,0.60514372163388797,0.43383947939262468
20230802,0.68411094258583827,0.2359249329758713,0.38177874186550975,461,176,0.76407506702412875,0.61822125813449025
20230803,0.80169082837773087,0.65295169946332732,0.79004329004328999,462,365,0.34704830053667268,0.20995670995671001
20230804,0.77335568378678377,0.40000000000000002,0.5714285714285714,462,264,0.59999999999999998,0.4285714285714286
20230807,0.84075000913809317,0.73634651600753298,0.84815618221258138,461,391,0.26365348399246702,0.15184381778741862
20230808,0.77926572184435117,0.45425867507886436,0.62472885032537961,461,288,0.54574132492113558,0.37527114967462039
20230809,0.77830881688992282,0.38323353293413176,0.55411255411255411,462,256,0.61676646706586824,0.44588744588744589
20230810,0.77660272055066382,0.38023952095808383,0.55097613882863339,461,254,0.61976047904191622,0.44902386117136661
20230811,0.78193145713002621,0.41935483870967744,0.59090909090909094,462,273,0.58064516129032251,0.40909090909090906
20230814,0.76866214540105959,0.39064856711915535,0.56182212581344904,461,259,0.6093514328808447,0.43817787418655096
20230815,0.76706560293669424,0.41194486983154671,0.58351409978308022,461,269,0.58805513016845334,0.41648590021691978
20230816,0.74728284004300161,0.26474622770919065,0.41865509761388287,461,193,0.73525377229080935,0.58134490238611713
20230817,0.75784163798287096,0.37518684603886399,0.54565217391304344,460,251,0.62481315396113601,0.45434782608695656
20230818,0.79296147986045917,0.5869191049913941,0.73969631236442512,461,341,0.4130808950086059,0.26030368763557488
20230821,0.77163266879593617,0.40763358778625952,0.57917570498915405,461,267,0.59236641221374042,0.42082429501084595
20230822,0.81493174265597068,0.61687170474516695,0.7630434782608696,460,351,0.38312829525483305,0.2369565217391304
20230823,0.80298916908718776,0.70110701107011075,0.824295010845987,461,380,0.29889298892988925,0.175704989154013
20230824,0.7932750527031307,0.62323943661971826,0.76789587852494579,461,354,0.37676056338028174,0.23210412147505421
20230825,0.79063958214756114,0.55033557046979864,0.70995670995671001,462,328,0.44966442953020136,0.29004329004328999
20230828,0.61175362510440368,0.24258760107816713,0.39045553145336226,461,180,0.75741239892183287,0.6095444685466378
20230829,0.81627818333707713,0.43035993740219092,0.60175054704595188,457,275,0.56964006259780908,0.39824945295404812
20230830,0.7735230094949892,0.39605462822458271,0.56739130434782614,460,261,0.60394537177541729,0.43260869565217386
20230831,0.79002322826994231,0.42945736434108528,0.60086767895878523,461,277,0.57054263565891472,0.39913232104121477
20230901,0.75787029708133213,0.40672782874617736,0.57826086956521738,460,266,0.5932721712538227,0.42173913043478262
20230904,0.80479058999903874,0.51485148514851486,0.6797385620915033,459,312,0.48514851485148514,0.3202614379084967
20230905,0.79954712604038936,0.45054945054945056,0.62121212121212122,462,287,0.5494505494505495,0.37878787878787878
20230906,0.82922325574304079,0.65529622980251345,0.79175704989154017,461,365,0.34470377019748655,0.20824295010845983
20230907,0.83599262904180072,0.67088607594936711,0.80303030303030298,462,371,0.32911392405063289,0.19696969696969702
20230908,0.8893216304977779,0.66365280289330919,0.79782608695652169,460,367,0.33634719710669081,0.20217391304347831
20230911,0.78983948861178133,0.42945736434108528,0.60086767895878523,461,277,0.57054263565891472,0.39913232104121477
20230912,0.78729480064515001,0.42503863987635238,0.59652928416485895,461,275,0.57496136012364762,0.40347071583514105
