trade_date,rows,finite_predictions,nonfinite_predictions,finite_labels,ic_rows,return_eligible_rows,turnover_eligible_rows,return_top_count,return_bottom_count,turnover_top_count,rank_ic,top_return,top_excess,top_bottom_spread,turnover
20220721,4650,4285,365,4285,4285,4204,4204,421,420,421,-0.076850430120370114,-0.0042045067899257084,-0.0025679526595494759,-0.0033903014616368803,0.95125000000000004
20220722,4650,4285,365,4281,4281,4209,4213,421,420,422,-0.058235314818856701,-0.015944903657333458,-0.007511658566031575,-0.0065976258452689323,0.9206145966709347
20220725,4650,4281,369,4281,4281,4216,4216,422,421,422,-0.15433368461223701,0.007505996067263535,-0.0037102278965431877,-0.0093846117026457447,0.93299620733249056
20220726,4650,4281,369,4283,4280,4191,4191,420,419,420,-0.099870088122346226,0.0050234252581371668,-0.0026285339898762987,-0.011575006354059145,0.92189500640204869
20220727,4650,4283,367,4284,4283,4188,4188,419,418,419,0.091743354964202675,0.010150852059408754,0.0035903047684348894,0.0082146046360831587,0.9366286438529785
20220728,4650,4284,366,4283,4283,4186,4187,419,418,419,-0.071635069165937593,-0.0068690484675508357,-0.001382866021363411,-0.0046494370170380344,0.89591567852437415
20220729,4650,4283,367,4281,4281,4216,4218,422,421,422,-0.018684888467427368,0.005714785273061157,0.00088007999621109948,-0.0019253570000900729,0.92041078305519897
20220801,4650,4281,369,4283,4281,4184,4184,419,418,419,0.11738044324362749,-0.030623035465423568,0.010474090651881013,0.012635575401522589,0.93409378960709755
20220802,4650,4283,367,4285,4283,4233,4233,424,423,424,-0.069959312402972512,-0.010621509228232509,-0.0052047144811825964,-0.0043421727177649899,0.86234817813765186
20220803,4650,4285,365,4286,4285,4239,4239,424,423,424,0.014116036669716682,0.0094269159206475852,-0.0048727975324602858,0.0015520130555703258,0.91002570694087404
20220804,4650,4286,364,4285,4285,4193,4194,420,419,420,-0.01563045627271558,0.0041278558630208654,-0.0064559840493863272,0.0053861779636562813,0.93164556962025313
20220805,4650,4285,365,4285,4285,4225,4225,423,422,423,-0.22206714933631364,0.0078212485587320895,-0.0057470190734875502,-0.021580559244623494,0.94228356336260977
20220808,4650,4285,365,4286,4285,4172,4172,418,417,418,0.027512897235802383,0.006179523587525485,0.002898049054575622,0.0041157404478727854,0.94743429286608261
20220809,4650,4286,364,4284,4284,4201,4203,421,420,421,0.062042038852540608,0.0030874614594778994,0.00068159392747580132,0.00016516436243979625,0.90755208333333337
20220810,4650,4284,366,4281,4281,4199,4201,420,419,421,-0.23416353518600286,0.0018415207043194742,-0.011335968472620772,-0.011977800665108205,0.91634491634491633
20220811,4650,4281,369,4282,4281,4204,4204,421,420,421,0.10686711918847432,-0.0084930443936933313,-0.0060866389618566439,-0.00099238046072695763,0.93954659949622166
20220812,4650,4282,368,4279,4278,4214,4218,422,421,422,-0.18553276348454825,0.0046269368965687766,-0.00016535659882729349,-0.013654229801944029,0.95539033457249067
20220815,4650,4279,371,4280,4279,4190,4190,419,419,419,0.096887828158597381,0.01106823302731429,0.0032084962706527484,0.0055665145246178204,0.93002544529262088
20220816,4650,4280,370,4282,4278,4189,4191,419,418,420,-0.028856221260339938,-0.0017190653608777742,-0.0044234561015988119,-0.0019687292710201692,0.91881443298969068
20220817,4650,4282,368,4283,4282,4199,4199,420,419,420,-0.12469134799837869,0.0053379837520069074,0.0050499955296809994,-0.0018448025632425919,0.94206549118387906
20220818,4650,4283,367,4284,4283,4202,4202,421,420,421,-0.34982750215395408,-0.027399089676977514,-0.016099154876231599,-0.023224147824998105,0.9106217616580311
20220819,4650,4284,366,4282,4282,4221,4223,423,422,423,0.11210853641292932,0.0066912752734849925,0.00010201609356347459,0.0062544299132288065,0.94894146948941471
20220822,4650,4282,368,4281,4281,4199,4200,420,419,420,-0.12558223715958033,0.0023741207322447904,-0.0016688123100881622,-0.0089218396790792694,0.91645244215938304
